vendor,tier,architecture,pricing_unit,price_low_usd,price_high_usd,grounding,hitl_native,compliance,notes
LlamaParse,AI-native,Agentic loop,per page,0.00125,0.05625,Yes,Optional,SOC2,"4 tiers: Fast/Cost-Effective/Agentic/Agentic Plus. 10k free credits/mo. 1000 credits = $1.25. ParseBench top score (84.9%)"
Reducto,AI-native,Hybrid CV+VLM,per page,0.005,0.020,Yes,Yes,SOC2/HIPAA,"~0.90 similarity on RD-TableBench (own benchmark); ~20pp ahead of hyperscalers on tables"
Landing AI ADE,AI-native,Agentic loop,monthly subscription,39,2199,Yes,Yes,HIPAA (Team/Enterprise),"$39/mo for 120k credits up to $2199/mo for 900k pages. ZDR option on Team/Enterprise. Credit formula: ceil((input/5000)+(output/1000), 0.1)"
Mistral Document AI (OCR 3),AI-native,Agentic VLM,per 1k pages,1,2,Yes,No,Self-host option,"$2/1k pages standard, $1/1k Batch API. 2000 pages/min throughput. Model id mistral-ocr-2512. 74% win rate vs OCR 2"
Nanonets,AI-native (commercial IDP),Agentic loop with HITL,per workflow block,0.05,0.30,Partial,Yes,SOC2/HIPAA,"$0.30/complex AI block, <$2/invoice end-to-end. $200 free credits. 100+ languages. Volume discounts to 40%"
Docsumo,Commercial IDP,Agentic loop with HITL,monthly subscription,0,0,Partial,Yes,SOC2,"150+ doc types, claims 95%+ accuracy. Free 14-day/1000-page trial. Tiers: Free/Business/Enterprise"
Databricks Document Intelligence,Platform-integrated,Hybrid + agentic,per page (platform tier),0.001,0.010,Yes,Via Agent Bricks,SOC2/HIPAA (platform),"ai_parse_document GA. Claims 5-7x cheaper than VLM-only pipelines. 16% gain over agents using raw documents on OfficeQA"
Google Document AI,Hyperscaler,Hybrid,per page,0.015,0.065,Partial,Via integration,SOC2/HIPAA,"Form Parser etc. Mature; template-leaning architecturally"
AWS Textract,Hyperscaler,Hybrid,per page,0.0015,0.065,Partial,Via A2I,SOC2/HIPAA,"Mature; lags agentic specialists on tables (RD-TableBench)"
Azure Document Intelligence,Hyperscaler,Hybrid,per page,0.0015,0.050,Partial,Via integration,SOC2/HIPAA,"Custom models supported. Solid baseline"
ABBYY Vantage,Classic IDP,Template + ML,per page,0.020,0.100,Yes,Yes,SOC2/HIPAA/GDPR,"Strong compliance posture; agentic retrofit ongoing"
Hyperscience,Classic IDP,ML + HITL,per page,0.030,0.150,Yes,Yes,SOC2/HIPAA,"Enterprise-only; deep HITL"
UiPath Document Understanding,Classic IDP,Template + ML,per page,0.020,0.080,Partial,Yes,SOC2,"RPA-integrated"
Klippa,Classic IDP,Template + ML,per page,0.010,0.040,Partial,Yes,SOC2/GDPR,"Receipts/invoices specialist"
Rossum,Classic IDP,ML + HITL,per page,0.020,0.080,Partial,Yes,SOC2,"Invoice-first; often grouped with Nanonets and Docsumo"
